source_path,source_filename,extension,byte_count,sha256,detected_mime,width,height,aspect_ratio,decode_result,exif_metadata_json,source_created_at,source_modified_at,classification,suggested_shot_code,rank,confidence,visual_rationale,import_decision,assignment_decision,existing_or_reused_asset_id
C:\Users\razer\Documents\transfiguration\grok-01c39ba1-a7a7-4413-aecc-9cbca43ec378.jpg,grok-01c39ba1-a7a7-4413-aecc-9cbca43ec378.jpg,.jpg,378870,743d3820e4e51c6890cd93c90532a7e591b3f73ff8e6b57e99f143bc8f25bcac,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:42.253711+00:00,alternate candidate for a shot,S05C,2,0.78,Alternate direct Elijah portrait; weaker eyeline than the selected profile.,import as draft starting_image,alternate for S05C; leave unassigned,eed29518-d401-411b-b984-93f85e160ea9
C:\Users\razer\Documents\transfiguration\grok-02a5678c-1f87-4c44-b8c2-9eb9b49d302e.jpg,grok-02a5678c-1f87-4c44-b8c2-9eb9b49d302e.jpg,.jpg,379116,1f31665818e13c5adf2cfa81ade5cbbda7c93557583e15c9b304646f39c330b6,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:41.879335+00:00,alternate candidate for a shot,S06B,2,0.72,Alternate serious disciple portrait; identity/composition less specific.,import as draft starting_image,alternate for S06B; leave unassigned,028fa3ad-64b7-4de3-8faa-d5f3fa9bf4fb
C:\Users\razer\Documents\transfiguration\grok-2ab55adc-cd2a-4675-83fc-187959f28d2e.jpg,grok-2ab55adc-cd2a-4675-83fc-187959f28d2e.jpg,.jpg,545137,7274f219f632ad1463ba9b3a3d83e927bb5851e5c2e8cf24a5ba06c94c746c5a,image/jpeg,1872,1056,1.7727,ok,{},2026-07-17T13:19:06+00:00,2026-07-17T08:03:41.720791+00:00,clean single-shot starting-image candidate,S05E,1,0.94,Three grounded disciples are fully awake and looking toward the holy trio.,import as draft starting_image,select for S05E,19a0f9b4-0b84-4246-b606-f92bfbfbb2c0
C:\Users\razer\Documents\transfiguration\grok-2b0970c2-64eb-4825-b0bb-3f6d34eff343.jpg,grok-2b0970c2-64eb-4825-b0bb-3f6d34eff343.jpg,.jpg,350226,60aaa74ae450d7e9cc9f733fac3918bb2c22d96fab405d3dcb92fb63edd8c7f8,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:42.093615+00:00,alternate candidate for a shot,S06B,2,0.68,Alternate young-disciple reaction portrait.,import as draft starting_image,alternate for S06B; leave unassigned,1cc81766-e27d-4288-8406-2cf9779f0c73
C:\Users\razer\Documents\transfiguration\grok-2cde8c25-0ef4-44cf-adfa-9f0605ff5b7d.jpg,grok-2cde8c25-0ef4-44cf-adfa-9f0605ff5b7d.jpg,.jpg,345555,5070fbdea2f30cac630e00032d96c437b0d23f546c0904859cd9593ac95bc922,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:41.786725+00:00,clean single-shot starting-image candidate,S01D,1,0.91,Dusty close portrait of Peter looking upward matches loyal exhaustion on the climb.,import as draft starting_image,select for S01D,a760bab4-3a65-4d85-9be5-b241121f9ca7
C:\Users\razer\Documents\transfiguration\grok-2e50c7db-2c4d-45f9-85dd-b53236cba840.jpg,grok-2e50c7db-2c4d-45f9-85dd-b53236cba840.jpg,.jpg,363095,c176da5daa294ea2d91b79d69254c71c64495e223d16cb4b67637303516c3b25,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:42.056881+00:00,clean single-shot starting-image candidate,S04B,1,0.88,Grounded full-body Jesus in a white robe on real rock matches the no-levitation hero reveal.,import as draft starting_image,select for S04B,ddbd5868-c24f-47d7-a060-925558f78e3d
C:\Users\razer\Documents\transfiguration\grok-2ffc15a9-1b13-4375-8075-35371ebdcfcc.jpg,grok-2ffc15a9-1b13-4375-8075-35371ebdcfcc.jpg,.jpg,369417,4dabacdcaeb20607419b2d3be1ffd2488417b5d4cf1e7ff22f0768e481ac878b,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:41.996876+00:00,alternate candidate for a shot,S05B,2,0.82,Alternate noble Moses portrait.,import as draft starting_image,alternate for S05B; leave unassigned,b3177e3d-06a7-4df8-95e3-af3d1ea8fe70
C:\Users\razer\Documents\transfiguration\grok-3c55e4cb-62f4-4f5a-926d-3db86c1f7946.jpg,grok-3c55e4cb-62f4-4f5a-926d-3db86c1f7946.jpg,.jpg,394697,13fccb8eef13b3e817bd6805aa1fd66d932f1630da9b3be4776d0b03d74eb0a6,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:42.007701+00:00,clean single-shot starting-image candidate,S05C,1,0.93,Rugged older Elijah in profile holds the required eyeline toward Jesus.,import as draft starting_image,select for S05C,bbfea90c-be79-4142-ab11-6d19b844ed95
C:\Users\razer\Documents\transfiguration\grok-3e0dcf49-b318-4aca-bb22-a54fb7259485.jpg,grok-3e0dcf49-b318-4aca-bb22-a54fb7259485.jpg,.jpg,323689,f91dfe98f8dcfea495e592d8e1888369291d77545c97ee22d9d10b4a8802ace8,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:42.253711+00:00,alternate candidate for a shot,S06B,2,0.72,Alternate John reaction portrait.,import as draft starting_image,alternate for S06B; leave unassigned,ddc01148-a2d2-4002-9945-35546143308f
C:\Users\razer\Documents\transfiguration\grok-3eb0ff92-400c-4381-bb06-5746366e0bc8.jpg,grok-3eb0ff92-400c-4381-bb06-5746366e0bc8.jpg,.jpg,377697,c3af274047bc9c416c52365079628d6e2d40dfbb68b82d86e467a007188fe641,image/jpeg,1792,1008,1.7778,ok,{},2026-07-17T13:19:08+00:00,2026-07-17T08:03:42.141623+00:00,alternate candidate for a shot,S05B,2,0.83,Alternate Moses portrait with direct rather than Jesus-facing eyeline.,import as draft starting_image,alternate for S05B; leave unassigned,75322785-cec3-4ecd-b2a9-c9b4a8a882ec
